Item Description,Quantity,Unit,Unit Price,Extension
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",4,CY,550,2200
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",4,CY,550,2200
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",10,CY,580,5800
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",10,CY,475,4750
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",10,CY,575,5750
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",10,CY,575,5750
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",5187,CY,104.45,541782.15
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",5187,CY,104.45,541782.15
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",5187,CY,104,539448
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",5187,CY,104.45,541782.15
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",5187,CY,104.45,541782.15
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",5187,CY,106.5,552415.5
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",5187,CY,100,518700
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",5187,CY,104.45,541782.15
"ASPHALT CONCRETE SURFACE COURSE, 12.5MM, TYPE A (446) (WT:  10)",1348,CY,182.5,246010
"ASPHALT CONCRETE SURFACE COURSE, 12.5MM, TYPE A (446) (WT:  10)",1348,CY,182.5,246010
"ASPHALT CONCRETE SURFACE COURSE, 12.5MM, TYPE A (446) (WT:  10)",1348,CY,183,246684
"ASPHALT CONCRETE SURFACE COURSE, 12.5MM, TYPE A (446) (WT:  10)",1348,CY,182.5,246010
"ASPHALT CONCRETE SURFACE COURSE, 12.5MM, TYPE A (446) (WT:  10)",1348,CY,182.5,246010
"ASPHALT CONCRETE SURFACE COURSE, 12.5MM, TYPE A (446) (WT:  10)",1348,CY,185,249380
"ASPHALT CONCRETE SURFACE COURSE, 12.5MM, TYPE A (446) (WT:  10)",1348,CY,190,256120
"ASPHALT CONCRETE SURFACE COURSE, 12.5MM, TYPE A (446) (WT:  10)",1348,CY,182.5,246010
"ASPHALT CONCRETE INTERMEDIATE COURSE,  19MM, TYPE A (448) (WT:  10)",1567,CY,138.3,216716.1
"ASPHALT CONCRETE INTERMEDIATE COURSE,  19MM, TYPE A (448) (WT:  10)",1567,CY,138.3,216716.1
"ASPHALT CONCRETE INTERMEDIATE COURSE,  19MM, TYPE A (448) (WT:  10)",1567,CY,138,216246
"ASPHALT CONCRETE INTERMEDIATE COURSE,  19MM, TYPE A (448) (WT:  10)",1567,CY,138.3,216716.1
"ASPHALT CONCRETE INTERMEDIATE COURSE,  19MM, TYPE A (448) (WT:  10)",1567,CY,138.3,216716.1
"ASPHALT CONCRETE INTERMEDIATE COURSE,  19MM, TYPE A (448) (WT:  10)",1567,CY,140,219380
"ASPHALT CONCRETE INTERMEDIATE COURSE,  19MM, TYPE A (448) (WT:  10)",1567,CY,170,266390
"ASPHALT CONCRETE INTERMEDIATE COURSE,  19MM, TYPE A (448) (WT:  10)",1567,CY,138.3,216716.1
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",1,CY,780,780
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",1,CY,780,780
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",1,CY,780,780
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",1,CY,780,780
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",1,CY,780,780
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",1,CY,1000,1000
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",1,CY,780,780
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",27,CY,382,10314
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",27,CY,382,10314
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",27,CY,380,10260
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",27,CY,382,10314
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",27,CY,382,10314
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",27,CY,390,10530
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",27,CY,400,10800
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",27,CY,382,10314
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",1,CY,830,830
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",1,CY,830,830
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",1,CY,830,830
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",1,CY,830,830
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",1,CY,830,830
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",1,CY,800,800
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",1,CY,1000,1000
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",1,CY,830,830
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-28 (WT:  10)",7,CY,344.4,2410.8
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-28 (WT:  10)",7,CY,300,2100
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-28 (WT:  10)",7,CY,329.12,2303.84
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-28 (WT:  10)",7,CY,328,2296
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-28 (WT:  10)",7,CY,300,2100
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-28 (WT:  10)",7,CY,300,2100
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-28 (WT:  10)",7,CY,300,2100
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-28 (WT:  10)",7,CY,300,2100
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",119,CY,119,14161
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",119,CY,115,13685
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",119,CY,150,17850
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",119,CY,150,17850
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",41,CY,245,10045
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",41,CY,185,7585
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",41,CY,250,10250
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 1, UNDER GUARDRAIL, PG64-22, AS PER PLAN (WT:  10)",41,CY,200,8200
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",465,CY,117,54405
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",465,CY,115,53475
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",465,CY,120,55800
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",465,CY,150,69750
"ASPHALT CONCRETE INTERMEDIATE COURSE, 19 MM, TYPE A (448), AS PER PLAN (WT:  10)",421,CY,137,57677
"ASPHALT CONCRETE INTERMEDIATE COURSE, 19 MM, TYPE A (448), AS PER PLAN (WT:  10)",421,CY,96,40416
