Item Description,Quantity,Unit,Unit Price,Extension
CL3 ASPH BASE 1.00D PG64-22,28,TON,150,4200
CL3 ASPH BASE 1.00D PG64-22,28,TON,160,4480
CL3 ASPH BASE 1.00D PG64-22,28,TON,150,4200
CL2 ASPH BASE 1.00D PG64-22,410,TON,54,22140
CL2 ASPH BASE 1.00D PG64-22,410,TON,74.5,30545
CL2 ASPH BASE 1.00D PG64-22,410,TON,60,24600
CL2 ASPH BASE 1.00D PG64-22,410,TON,67.7,27757
CL2 ASPH BASE 1.00D PG64-22,410,TON,67.7,27757
CL2 ASPH BASE 1.00D PG64-22,410,TON,60,24600
CL3 ASPH BASE 1.00D PG64-22,726,TON,75,54450
CL3 ASPH BASE 1.00D PG64-22,726,TON,74.35,53978.1
CL3 ASPH BASE 1.00D PG64-22,726,TON,70,50820
CL3 ASPH SURF 0.50B PG64-22,378,TON,85,32130
CL3 ASPH SURF 0.50B PG64-22,378,TON,83.45,31544.1
CL3 ASPH SURF 0.50B PG64-22,378,TON,80,30240
CL2 ASPH BASE 1.00D PG64-22,210,TON,65,13650
CL2 ASPH BASE 1.00D PG64-22,210,TON,110,23100
CL2 ASPH BASE 1.00D PG64-22,210,TON,150,31500
CL3 ASPH BASE 1.00D PG64-22,6355,TON,65,413075
CL3 ASPH BASE 1.00D PG64-22,6355,TON,69.57,442117.35
CL3 ASPH BASE 1.00D PG64-22,6355,TON,100,635500
CL2 ASPH BASE 0.75D PG64-22,361,TON,65,23465
CL2 ASPH BASE 0.75D PG64-22,361,TON,78.65,28392.65
CL2 ASPH BASE 0.75D PG64-22,361,TON,140,50540
CL3 ASPH BASE 0.75D PG64-22,900,TON,65,58500
CL3 ASPH BASE 0.75D PG64-22,900,TON,68.35,61515
CL3 ASPH BASE 0.75D PG64-22,900,TON,140,126000
CL3 ASPH SURF 0.38A PG76-22,3793,TON,95,360335
CL3 ASPH SURF 0.38A PG76-22,3793,TON,81.54,309281.22
CL3 ASPH SURF 0.38A PG76-22,3793,TON,150,568950
CL2 ASPH BASE 0.75D PG64-22,1096,TON,74,81104
CL2 ASPH BASE 0.75D PG64-22,1096,TON,74,81104
CL2 ASPH BASE 0.75D PG64-22,1096,TON,74,81104
CL2 ASPH BASE 0.75D PG64-22,1096,TON,68,74528
CL2 ASPH BASE 0.75D PG64-22,1096,TON,74,81104
CL2 ASPH BASE 0.75D PG64-22,1096,TON,74,81104
